"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Christian McCaffrey","SF","RB","25.0","22.0","18.2","21.0","23.9","Main","40.4","36.5"
"Puka Nacua","LA","WR","24.3","20.1","14.4","18.6","22.8","Main","40.3","34.4"
"Josh Allen","BUF","QB","23.6","23.4","22.7","22.7","22.7","Main","35.3","35.3"
"Lamar Jackson","BAL","QB","22.7","22.5","21.6","21.6","21.6","Main","35.1","35.1"
"De'Von Achane","MIA","RB","20.8","18.0","14.6","17.4","20.1","Monday","34.9","31.1"
"Jalen Hurts","PHI","QB","20.8","20.5","20.1","20.1","20.1","Main","31.8","31.7"
"Patrick Mahomes","KC","QB","20.6","20.3","19.5","19.5","19.5","Main","31.3","31.3"
"Jonathan Taylor","IND","RB","20.5","19.1","16.6","17.9","19.2","Main","33.6","31.9"
"Justin Herbert","LAC","QB","20.5","20.3","19.4","19.4","19.4","Main","31.6","31.5"
"Bijan Robinson","ATL","RB","20.3","18.4","15.7","17.5","19.3","Main","34.3","31.8"
"Bo Nix","DEN","QB","20.0","19.8","19.3","19.3","19.3","Monday","30.9","30.9"
"Josh Jacobs","GB","RB","19.8","18.4","16.2","17.5","18.8","Sunday","33.0","31.2"
"James Cook","BUF","RB","19.7","18.5","16.3","17.4","18.5","Main","33.4","31.8"
"Caleb Williams","CHI","QB","19.7","19.4","18.9","18.9","18.9","Main","30.3","30.2"
"Drake Maye","NE","QB","19.7","19.4","18.9","18.9","18.9","Main","30.4","30.4"
"Justin Fields","NYJ","QB","19.4","19.1","18.7","18.7","18.7","Monday","30.5","30.4"
"Brock Purdy","SF","QB","19.2","19.0","18.2","18.2","18.2","Main","29.7","29.7"
"Jaxon Smith-Njigba","SEA","WR","19.2","15.8","11.5","14.8","18.2","Thursday","33.4","28.6"
"Kyler Murray","ARI","QB","18.8","18.5","18.0","18.0","18.0","Thursday","29.3","29.2"
"Jahmyr Gibbs","DET","RB","18.8","16.9","14.4","16.3","18.1","Main","32.9","30.3"
