FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Josh Allen,BUF,QB,1,0,
2,Lamar Jackson,BAL,QB,2,0,
3,Jalen Hurts,PHI,QB,3,0,
4,Justin Herbert,LAC,QB,4,0,
5,Drake Maye,NE,QB,6,1,
6,Patrick Mahomes II,KC,QB,7,1,
7,Caleb Williams,CHI,QB,5,-2,
8,Bo Nix,DEN,QB,8,0,
9,Jordan Love,GB,QB,9,0,
10,Brock Purdy,SF,QB,11,1,
11,Kyler Murray,ARI,QB,12,1,
12,Geno Smith,LV,QB,13,1,
13,Justin Fields,NYJ,QB,18,5,
14,Marcus Mariota,WAS,QB,28,14,
15,Daniel Jones,IND,QB,10,-5,
16,Matthew Stafford,LAR,QB,16,0,
17,Jared Goff,DET,QB,14,-3,
18,Baker Mayfield,TB,QB,15,-3,
19,Jaxson Dart,NYG,QB,22,3,
20,C.J. Stroud,HOU,QB,17,-3,
21,Trevor Lawrence,JAC,QB,24,3,
22,Tua Tagovailoa,MIA,QB,21,-1,
23,Michael Penix Jr.,ATL,QB,23,0,
24,Sam Darnold,SEA,QB,20,-4,
25,Dak Prescott,DAL,QB,19,-6,
26,Carson Wentz,MIN,QB,25,-1,
27,Jake Browning,CIN,QB,27,0,
28,Bryce Young,CAR,QB,26,-2,
29,Spencer Rattler,NO,QB,31,2,
30,Joe Flacco,CLE,QB,29,-1,
31,Aaron Rodgers,PIT,QB,30,-1,
32,Cam Ward,TEN,QB,32,0,
33,Tyler Shough,NO,QB,35,2,
