"playid","season","week","gamekey_internal","offense","defense","play_type","quarter","minutes","seconds","yards_to_endzone","down","distance","yards_gained","total_rbs","total_wrs","total_tes","personnel","shotgun","play_action","no_huddle","defenders_in_box","run_direction","yards_created","yards_blocked","target_depth","evaded_tackle1","evaded_tackle2","evaded_tackle3","oline_hurry","qb_seconds_to_throw","throw_under_duress","batted_pass","money_throw","interceptable_pass","danger_play","catchable_pass","contested_target","end_zone_target","drop","pass_breakup","qb_throw_away","receiver_separation_at_target","qb_id","runner_id","targeted_receiver_id","targeted_defender_id","coverage_type","skill1","skill1_route","skill1_motion","skill1_cushion","skill2","skill2_route","skill2_motion","skill2_cushion","skill3","skill3_route","skill3_motion","skill3_cushion","skill4","skill4_route","skill4_motion","skill4_cushion","skill5","skill5_route","skill5_motion","skill5_cushion","qb_pressure_defender1_id","qb_pressure_defender2_id","qb_pressure_defender3_id","pass_breakup_defender_id","description","first_down_gained","redzone","away_team","home_team","off_score","def_score","penalty_team","penalty","blocked_kick","interception","sack","fumble","fumble_lost","over_under","spread","surface","conditions","forecast_temp","forecast_wind"
1106026,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","KOFF",1,15,0,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","4-J.Elliott kicks 60 yards from PHI 35 to DAL 5. 9-K.Turpin pushed ob at DAL 32 for 27 yards (83-K.Granson). PHI-43-B.VanSumeren was injured during the play. PENALTY on PHI-98-J.Carter, Disqualification, 15 yards, enforced at DAL 32.",0,"0","DAL","PHI",0,0,"PHI","Disqualification",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106027,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,14,54,"53",1,10,7,1,3,1,"11",0,0,0,6,"LT","3","4","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0036358",0,"","","00-0037247",0,"","","00-0038041",0,"S","","00-0036997",0,"","","00-0037666",0,"","","","","","","(14:54) 33-J.Williams left tackle to PHI 46 for 7 yards (33-C.DeJean).",0,"0","DAL","PHI",0,0,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106028,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,14,22,"46",2,3,4,1,3,1,"11",1,0,0,6,"RE","2","2","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0037801","","","","00-0036358",0,"","","00-0038041",0,"","","00-0037801",0,"S","","00-0036997",0,"","","00-0037247",0,"","","","","","","(14:22) (Shotgun) 9-K.Turpin right end to PHI 42 for 4 yards (33-C.DeJean; 53-Z.Baun).",1,"0","DAL","PHI",0,0,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106029,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","PASS",1,13,47,"42",1,10,6,0,4,1,"01",1,0,0,7,"","0","6","5","","","",0,"1.6",0,0,0,0,0,1,0,"0",0,0,0,"CLS","00-0033077","","00-0037247","00-0039888","2","00-0036358",1,"","8","00-0038547",0,"","1","00-0038738",0,"","","00-0037801",1,"S","5","00-0037247",1,"","7","","","","","(13:47) (Shotgun) 4-D.Prescott pass short right to 3-G.Pickens to PHI 36 for 6 yards (27-Q.Mitchell).",0,"0","DAL","PHI",0,0,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106030,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,13,4,"36",2,4,3,1,3,1,"11",0,0,0,8,"RM","2","1","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0036358",0,"","","00-0039530",0,"","","00-0037801",0,"S","","00-0036997",0,"","","00-0037247",0,"","","","","","","(13:04) 33-J.Williams up the middle to PHI 33 for 3 yards (24-A.Mukuba).",0,"0","DAL","PHI",0,0,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106031,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","PASS",1,12,22,"33",3,1,32,1,2,2,"12",0,1,0,7,"","2","30","26","","","",1,"3.3",0,0,0,0,0,1,0,"0",0,0,0,"OPN","00-0033077","","00-0036358","00-0033878","1","00-0037247",1,"","7","00-0036997",0,"","","00-0038547",0,"","","00-0038041",0,"","","00-0036358",1,"P","6","00-0039740","","","","(12:22) 4-D.Prescott pass deep right to 88-C.Lamb to PHI 1 for 32 yards (8-A.Jackson).",1,"0","DAL","PHI",0,0,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106032,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","NOPL",1,11,56,"1",1,1,0,1,2,2,"12",1,1,1,7,"","","","0","","","",0,"1.5",0,0,0,0,0,0,1,"0",0,0,0,"TCV","00-0033077","","","00-0033878","0","00-0037247",1,"","1","00-0038041",1,"","1","00-0036997",0,"","","00-0038547",0,"","","00-0036358",1,"","1","","","","","(11:56) (No Huddle, Shotgun) 4-D.Prescott pass incomplete short right to 88-C.Lamb. PENALTY on PHI-8-A.Jackson, Defensive Pass Interference, 0 yards, enforced at PHI 1 - No Play.",0,"1","DAL","PHI",0,0,"PHI","Defensive Pass Interference",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106033,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","RUSH",1,11,52,"1",1,1,1,1,2,2,"12",0,0,0,9,"LG","1","0","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","00-0036997","","","","00-0037666",0,"","","00-0039530",0,"","","00-0038738",0,"S","","00-0036997",0,"","","00-0038547",0,"","","","","","","(11:52) 33-J.Williams left guard for 1 yard, TOUCHDOWN.",0,"1","DAL","PHI",0,0,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106034,2025,1,"2025-09-04_PHI_DAL","DAL","PHI","FGXP",1,11,49,"15",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","17-B.Aubrey extra point is GOOD, Center-44-T.Sieg, Holder-5-B.Anger.",0,"1","DAL","PHI",6,0,"","",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
1106035,2025,1,"2025-09-04_PHI_DAL","PHI","DAL","KOFF",1,11,49,"35",0,0,0,0,5,0,"00",0,0,0,0,"","","","","","","",0,"",0,0,0,0,0,0,0,"",0,0,0,"","","","","","","",0,"","","",0,"","","",0,"","","",0,"","","",0,"","","","","","","17-B.Aubrey kicks 65 yards from DAL 35 to end zone, Touchback to the PHI 35. PENALTY on PHI-39-M.Epps, Illegal Motion, 5 yards, enforced at PHI 35.",0,"0","DAL","PHI",0,7,"PHI","Illegal Motion",0,0,0,0,0,47.5,8,"Grass","Rain",75,11
