"player","name","week","position","team","opponent","fantasy_points","fantasy_points_rank","pass_attempts","completions","passing_yards","air_yards_pass","passing_touchdowns","interceptions","carries","rushing_yards","rushing_touchdowns","targets","target_share","receptions","receiving_yards","air_yards","receiving_touchdowns","total_touches","total_yards","snaps","snap_share","pass_snaps","run_snaps","red_zone_snaps","play_action_snaps","snaps_in_motion","shotgun_snaps","backfield_snaps","slot_snaps","inline_snaps","snaps_out_wide","routes_run","primary_corner","hog_rate","contested_targets","contested_catches","catchable_targets","drops","deep_ball_attempts","deep_ball_completions","throws_under_duress","qb_seconds_to_throw","oline_hurries","batted_throws","money_throws","danger_plays","qb_throw_aways","sacks_taken","interceptable_passes","catchable_passes","yards_created","yards_created_rushing","yards_created_receiving","yards_blocked","evaded_tackles","defenders_in_box","defenders_in_box_pass_snaps","defenders_in_box_run_snaps","defenders_in_box_red_zone_snaps","passing_first_downs","rushing_first_downs","receiving_first_downs","red_zone_passes","red_zone_completions","red_zone_carries","red_zone_targets","goal_line_passes","goal_line_carries","goal_line_targets","end_zone_targets","first_down_targets","second_down_targets","third_down_targets","fourth_down_targets","first_down_receiving_yards","second_down_receiving_yards","third_down_receiving_yards","fourth_down_receiving_yards","first_down_throws","second_down_throws","third_down_throws","fourth_down_throws","first_down_passing_yards","second_down_passing_yards","third_down_passing_yards","fourth_down_passing_yards","first_down_carries","second_down_carries","third_down_carries","fourth_down_carries","first_down_rushing_yards","second_down_rushing_yards","third_down_rushing_yards","fourth_down_rushing_yards","carries_left","carries_middle","carries_right","carries_inside","carries_outside","targets_left","targets_middle","targets_right"
"00-0035228","Kyler Murray",1,"QB","ARI","NO",18.32,16,29,21,163,166,2,0,7,38,0,0,0,0,0,0,0,7,38,66,100,34,27,11,7,,49,,0,,,0,"",0,,,,,4,1,,2.215625,4,1,1,1,1,5,1,23,13,13,,-3,1,6.21,6.21,,7,9,3,,4,3,1,,2,,,,,,,,,,,,10,11,8,,13,94,56,,2,4,1,,13,22,3,,3,1,3,1,6,,,
"00-0039917","Michael Penix Jr.",1,"QB","ATL","TB",24.02,10,42,27,298,288,1,0,6,21,1,0,0,0,0,0,0,6,21,75,100,43,27,12,9,,73,,0,,,0,"",0,,,,,4,0,,2.23555555555556,10,2,,2,1,1,1,31,,,,,0,6.1,6.1,,6,14,1,,2,,2,,2,2,,,,,,,,,,,16,14,12,,105,121,72,,1,2,1,2,12,-1,4,6,1,3,,3,1,,,
"00-0034796","Lamar Jackson",1,"QB","BAL","BUF",29.36,4,19,14,209,173,2,0,6,70,1,0,0,0,0,0,0,6,70,51,100,21,29,4,4,,36,,0,,,0,"",0,,,,,4,2,,2.34736842105263,2,1,,,,2,,14,3,3,,21,0,5.89,5.89,,,7,5,,,,1,,,,,,,,,,,,,,8,5,6,,102,35,72,,1,1,4,,13,10,47,,5,,1,,6,,,
"00-0034857","Josh Allen",1,"QB","BUF","BAL",38.76,1,46,33,394,400,2,0,14,30,2,0,0,0,0,0,0,14,30,81,100,46,28,21,3,,57,,0,,,0,"",0,,,,,8,5,,2.674,8,2,2,2,,1,2,34,2,2,,5,0,5.54,5.54,,5.78,18,2,,9,6,8,,,5,,,,,,,,,,,21,16,8,1,165,131,88,10,7,3,4,,14,10,6,,4,4,3,4,7,,,
"00-0039150","Bryce Young",1,"QB","CAR","JAX",10.16,25,35,18,154,269,1,2,5,40,0,0,0,0,0,0,0,5,40,63,100,36,24,4,4,,51,,0,,,0,"",0,,,,,3,0,,2.62432432432432,7,2,1,3,,1,2,27,,,,,0,5.71,5.71,,5,7,2,,1,,,,1,,,,,,,,,,,,13,11,9,2,70,34,50,0,2,,3,,8,,32,,1,1,2,1,3,,,
"00-0039918","Caleb Williams",1,"QB","CHI","MIN",24.2,9,35,21,210,263,1,0,6,58,1,0,0,0,0,0,0,6,58,66,100,37,26,5,8,,34,,0,,,0,"",0,,,,,5,2,,2.9578947368421,10,2,,1,1,2,1,22,,,,,0,5.63,5.63,,7,10,4,,2,2,2,,1,,,,,,,,,,,,13,12,9,1,94,77,39,0,1,3,2,,13,34,11,,3,1,2,1,5,,,
"00-0036442","Joe Burrow",1,"QB","CIN","CLE",8.82,28,23,14,113,169,1,0,2,3,0,0,0,0,0,0,0,2,3,52,100,26,23,9,4,,41,,0,,,0,"",0,,,,,2,0,1,2.67083333333333,2,,,,,3,,19,,,,,0,5.78,5.78,,6.5,6,,,4,1,,,2,,,,,,,,,,,,7,8,8,,33,37,43,,,1,1,,,1,2,,1,1,,1,1,,,
"00-0026158","Joe Flacco",1,"QB","CLE","CIN",14.2,19,45,31,290,266,1,2,2,6,0,0,0,0,0,0,0,2,6,76,100,47,24,12,11,1,54,,1,,,0,"",0,,,,,2,1,1,2.714,10,,1,,1,2,,35,0,0,,2,0,5.5,5.49,6,5.8,11,1,,5,4,,,1,,,,,,,,,,,,15,18,11,1,78,104,108,0,,1,1,,,4,2,,1,,1,1,1,,,
"00-0033077","Dak Prescott",1,"QB","DAL","PHI",7.82,29,34,21,188,331,0,0,1,3,0,0,0,0,0,0,0,1,3,60,100,33,22,7,8,,43,,0,,,0,"",0,,,,,7,1,1,2.88157894736842,11,,,,,,,25,,,,,0,5.97,5.97,,7,8,,,1,,,,,,,,,,,,,,,,14,10,9,1,44,38,106,0,1,,,,3,,,,1,,,,1,,,
"00-0039732","Bo Nix",1,"QB","DEN","TEN",8.84,27,40,25,176,213,1,2,8,18,0,0,0,0,0,0,0,8,18,74,100,41,28,6,11,,50,,0,,,0,"",0,,,,,4,1,1,2.67111111111111,1,,,4,3,1,3,28,1,1,,4,0,5.75,5.75,,6,8,1,,2,2,1,,,,,,,,,,,,,,13,15,11,1,63,65,48,0,2,3,2,1,-2,17,3,0,2,4,,4,2,,,
"00-0033106","Jared Goff",1,"QB","DET","GB",11.9,21,39,31,225,163,1,1,1,-1,0,0,0,0,0,0,0,1,-1,66,100,43,21,13,6,,39,,0,,,0,"",0,,,,,1,0,,3.0575,11,,,1,1,4,1,32,,,,,0,5.54,5.54,,5.2,11,,,10,4,,,,,,,,,,,,,,,14,10,12,3,45,86,65,29,1,,,,-1,,,,,,,,,,,
"00-0036264","Jordan Love",1,"QB","GB","DET",15.92,18,22,16,188,253,2,0,3,4,0,0,0,0,0,0,0,3,4,47,100,22,24,13,6,1,30,1,0,,,0,"",0,,,,,4,2,1,2.77826086956522,3,,1,2,,,2,16,1,1,,1,0,6.52,6.45,8,6.33,8,1,,6,4,2,,,,,,,,,,,,,,9,7,6,,92,28,68,,,2,,1,,2,,2,,2,,2,,,,
"00-0039163","C.J. Stroud",1,"QB","HOU","LAR",9.72,26,27,19,188,172,0,1,5,32,0,0,0,0,0,0,0,5,32,63,100,30,27,4,3,,44,,0,,,0,"",0,,,,,3,2,,2.63225806451613,4,1,1,1,,3,1,22,2,2,,0,0,5.93,5.93,,6,7,3,,1,,1,,,,,,,,,,,,,,13,9,5,,91,64,33,,1,2,1,1,5,19,6,2,1,1,3,1,4,,,
"00-0035710","Daniel Jones",1,"QB","IND","MIA",29.48,3,29,22,272,196,1,0,7,26,2,0,0,0,0,0,0,7,26,73,100,30,40,20,10,,51,,0,,,0,"",0,,,,,3,3,1,2.38,4,,1,1,,1,1,22,2,2,,4,0,6.07,6.07,,5.67,14,1,,3,1,5,,,2,,,,,,,,,,,11,9,8,1,134,72,60,6,2,1,3,1,17,1,7,1,1,1,5,4,3,,,
"00-0036971","Trevor Lawrence",1,"QB","JAX","CAR",11.32,23,31,19,178,223,1,1,4,12,0,0,0,0,0,0,0,4,12,63,100,30,30,12,8,,34,,0,,,0,"",0,,,,,3,1,,2.71,3,1,,2,1,,2,23,,,,,0,6.03,6.03,,6.67,7,1,,3,2,1,,,,,,,,,,,,,,9,15,7,,18,102,58,,1,2,1,,-1,9,4,,1,1,,2,,,,
"00-0033873","Patrick Mahomes",1,"QB","KC","LAC",26.02,6,39,24,258,271,1,0,6,57,1,0,0,0,0,0,0,6,57,60,100,40,17,9,4,,50,,0,,,0,"",0,,,,,4,2,,2.26410256410256,5,5,3,3,,2,3,27,,,,,0,5.26,5.26,,5.4,8,5,,5,1,1,,,,,,,,,,,,,,13,14,10,2,130,42,31,55,4,,2,,37,,20,,2,1,3,1,5,,,
"00-0036355","Justin Herbert",1,"QB","LAC","KC",27.92,5,34,25,318,342,3,0,7,32,0,0,0,0,0,0,0,7,32,63,100,37,22,10,11,,47,1,0,,,0,"",0,,,,,4,0,,2.84571428571429,7,,1,1,,3,1,26,,,,,0,6.03,5.97,8,7.33,16,1,,3,2,,,1,,,,,,,,,,,,14,12,8,,156,98,64,,3,2,2,,12,2,18,,2,,2,,4,,,
"00-0026498","Matthew Stafford",1,"QB","LAR","HOU",13.6,20,29,21,245,226,1,0,4,-2,0,0,0,0,0,0,0,4,-2,58,100,32,23,9,11,,21,,0,,,0,"",0,,,,,5,4,,2.4741935483871,2,,5,1,1,3,,23,15,15,,-15,0,6.59,6.59,,7,13,,,2,2,1,,,1,,,,,,,,,,,11,10,8,,44,122,79,,1,1,2,,-1,-1,0,,,1,,1,,,,
"00-0030565","Geno Smith",1,"QB","LV","NE",18.48,15,34,24,362,351,1,1,2,10,0,0,0,0,0,0,0,2,10,61,100,37,23,3,11,,43,,0,,,0,"",0,,,,,6,4,,2.72424242424242,1,,1,1,,4,1,26,,,,,0,5.5,5.5,,6,17,1,,1,1,,,,,,,,,,,,,,,15,9,9,1,194,51,109,8,2,,,,10,,,,1,,,,1,,,
"00-0036212","Tua Tagovailoa",1,"QB","MIA","IND",7.26,30,23,14,114,162,1,2,1,7,0,0,0,0,0,0,0,1,7,38,80.8511,26,11,5,4,,28,,0,,,0,"",0,,,,,3,1,,2.61666666666667,2,,,4,,3,3,16,,,,,0,5.91,5.91,,6,5,,,3,1,,,,,,,,,,,,,,,6,10,5,2,36,53,14,11,1,,,,7,,,,,1,,1,,,,
"00-0037013","Zach Wilson",1,"QB","MIA","IND",1.58,33,8,5,32,68,0,0,1,3,0,0,0,0,0,0,0,1,3,9,19.1489,8,1,0,,,9,,0,,,0,"",0,,,,,2,0,,2.2125,,,,,,,,5,,,,,0,5.25,5.25,,,2,,,,,,,,,,,,,,,,,,,3,3,2,,5,7,20,,1,,,,3,,,,,,1,,1,,,
"00-0039923","J.J. McCarthy",1,"QB","MIN","CHI",23.22,11,20,13,143,117,2,1,2,25,1,0,0,0,0,0,0,2,25,56,100,23,26,10,10,,21,,0,,,0,"",0,,,,,2,1,1,3.02307692307692,10,2,,1,,3,1,14,2,2,,12,0,5.95,5.95,,6,5,2,,3,1,1,,,,,,,,,,,,,,5,9,6,,74,45,24,,1,,1,,11,,14,,1,,1,1,1,,,
