Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Surgery,Recovery Timetable
Azeez Al-Shaair,AA-0250,San Francisco 49ers,concussion,head,upper body,Low Severity,Week 10,2019,1,1,,
Alex Anzalone,AA-0552,New Orleans Saints,shoulder sprain,shoulder,upper body,High Severity,Week 2,2019,15,15,,
Antony Auclair,AA-0581,Tampa Bay Buccaneers,calf strain,calf,lower body,Low Severity,Week 1,2019,0,1,,
Antony Auclair,AA-0581,Tampa Bay Buccaneers,toe sprain,toe,lower body,High Severity,Week 10,2019,8,8,,
Anthony Barr,AB-0650,Minnesota Vikings,groin strain,groin,lower body,Low Severity,Week 2,2019,1,1,,
Angelo Blackson,AB-1925,Houston Texans,shoulder sprain,shoulder,upper body,Low Severity,Week 12,2019,1,1,,
Alfred Blue,AB-1975,Jacksonville Jaguars,ankle sprain,ankle,lower body,High Severity,Preseason,2019,8,8,,
Austin Blythe,AB-1987,Los Angeles Rams,ankle sprain,ankle,lower body,Low Severity,Week 3,2019,1,,,
A.J. Bouye,AB-2250,Jacksonville Jaguars,hip strain,hip,lower body,Low Severity,Week 1,2019,1,2,,
A.J. Bouye,AB-2250,Jacksonville Jaguars,wrist sprain,wrist,upper body,Low Severity,Week 16,2019,1,1,,
A.J. Brown,AB-3150,Tennessee Titans,ankle sprain,ankle,lower body,Low Severity,Preseason,2019,0,0,,
Anthony Brown,AB-3450,Dallas Cowboys,triceps tear,triceps,upper body,High Severity,Week 11,2019,6,6,Triceps Surgery,6-8 months
Antonio Brown,AB-3500,New England Patriots,foot frostbite,foot,lower body,Medium Severity,Preseason,2019,0,0,,
Austin Bryant,AB-3856,Detroit Lions,hip strain,hip,lower body,Low Severity,Week 12,2019,2,2,,
Austin Bryant,AB-3856,Detroit Lions,pectoral strain,chest,upper body,High Severity,Preseason,2019,,,,
Artie Burns,AB-3875,Pittsburgh Steelers,knee sprain,knee,lower body,Low Severity,Week 11,2019,2,2,,
