O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Injury Detail,Surgery,Recovery Timetable,Injured Reserve,IR from Previous inj.
O,Allen Lazard,AL-0387,New York Jets,AC Joint Sprain ,shoulder,upper body,Low Severity,Preseason,2023,,,,,,,
O,Braeden Daniels,BD-0001,Washington Commanders,Torn Rotator Cuff,shoulder,upper body,High Severity,Preseason,2023,17,,,Yes ,Out for 2023 season,Yes ,
D,Caleb Farley,CF-5957,Tennessee Titans,Back injury,back,upper body,Medium Severity,Preseason,2023,17,,,,,,
D,Chase Young,CY-0150,Washington Commanders,Stinger,arm,upper body,Low Severity,Preseason,2023,1,1,,,,,
O,Christian Watson,CW-4091,Green Bay Packers,Hamstring Strain,leg,lower body,Medium Severity,Preseason,2023,3,6,,,,,
O,Cooper Kupp,CK-1300,Los Angeles Rams,Hamstring Strain,leg,lower body,Medium Severity,Preseason,2023,4,5,,,,Yes,
D,DaVon Hamilton,DH-1025,Jacksonville Jaguars,Non football related back issue,back,upper body,Medium Severity,Preseason,2023,5,5,,,,Yes,
O,Devon Achane,DA-5229,Miami Dolphins,Shoulder Sprain,shoulder,upper body,Low Severity,Preseason,2023,1,1,,,,,
D,Devon Witherspoon,DW-0229,Seattle Seahawks,Hamstring Strain,leg,lower body,Medium Severity,Preseason,2023,1,1,,,,,
O,DJ Chark,DC-1418,Carolina Panthers,Hamstring Strain,leg,lower body,Medium Severity,Preseason,2023,1,1,,,,,
D,Emmanuel Moseley,EM-1750,Detroit Lions,Torn ACL ,knee,lower body,Medium Severity,Regular Season,2022,4,4,,Yes,,,
O,George Kittle,GK-0075,San Francisco 49ers,Adductor Strain,leg,lower body,Low Severity,Preseason,2023,,1,,,,,
D,Jalen Ramsey,JR-0150,Miami Dolphins,Torn Meniscus ,knee,lower body,High Severity,Preseason,2023,7,7,,,,yes,
O,Jaxon Smith-Njigba ,JS-7857,Seattle Seahawks,Broken Wrist,hand,upper body,Low Severity,Preseason,2023,,,,,,,
D,Jeff Okudah,JO-0543,Atlanta Falcons,Ankle injury,leg,lower body,Medium Severity,Preseason,2023,1,1,,,,,
O,Jeff Wilson,JW-4975,Miami Dolphins,Undisclosed Injury,hand,upper body,Medium Severity,Preseason,2023,6,7,,,,Yes,
O,Jerry Jeudy,JJ-2325,Denver Broncos,Hamstring Strain,hamstring,lower body,Medium Severity,Preseason,2023,1,2,,,,,
O,Jonathan Taylor,JT-1025,Indianapolis Colts,Ankle Pain/Discomfort,ankle,lower body,Medium Severity,Preseason,2023,4,,,,,,
O,Juice Scruggs,JS-0001,Houston Texans,Hamstring strain,leg,lower body,Medium Severity,Preseason,2023,10,,,,,Yes,
D,K'Waun Williams,KW-1550,Denver Broncos,Ankle Surgery ,ankle,lower body,Medium Severity,Preseason,2023,3,,,,,Yes,
O,Kendre Miller,KM-0222,New Orleans Saints,Hamstring Strain,leg,lower body,Low Severity,Preseason,2023,2,2,,,,,
O,Kene Nwangwu,KN-9986,Minnesota Vikings,Low Back Injury,back,upper body,Medium Severity,Preseason,2023,4,4,,,,Yes,
O,Kyle Phillips,KP-0625,Tennessee Titans,MCL injury,knee,lower body,Medium Severity,Preseason,2023,4,4,,,,Yes,
O,Mark Andrews,MA-1050,Baltimore Ravens,Quad Strain,leg,lower body,Low Severity,Preseason,2023,1,1,,,,,
D,Marlon Humphrey,MH-3742,Baltimore Ravens,Foot Surgery,foot,lower body,Medium Severity,Preseason,2023,5,4,,,,,
O,Nate Sudfeld,NS-0775,Detroit Lions,Torn ACL,knee,lower body,High Severity,Preseason,2023,17,,,Yes,Out for 2023 season,Yes ,
O,Riley Reiff,RR-0250,New England Patriots,Knee Sprain,knee,lower body,Medium Severity,Preseason,2023,17,,,,,Yes,
O,Romeo Doubs,RD-8302,Green Bay Packers,Hamstring Strain,leg,lower body,Low Severity,Preseason,2023,,,,,,,
D,Shaquille Leonard,DL-0925,Indianapolis Colts,Concussion,head,upper body,Low Severity,Preseason,2023,,,,,,,
O,T.J. Hockenson,TH-1875,Minnesota Vikings,Lower Back Stiffness,back,lower body,Low Severity,Preseason,2023,,,,,,,
O,Terron Armstead,TA-0850,Miami Dolphins,"Leg, Ankle & Back Injuries",leg,lower body,Medium Severity,Preseason,2023,1,1,,,,,
O,Terry McLaurin,TM-2275,Washington Commanders,Sprained Toe,foot,lower body,Low Severity,Preseason,2023,,,,,,,
O,Teven Jenkins,TJ-3031,Chicago Bears,Leg Injury,leg,lower body,Medium Severity,Preseason,2023,3,3,,,,Yes,
O,Travis Kelce,TK-0150,Kansas City Chiefs,Hyperextended Knee,knee,lower body,Low Severity,Preseason,2023,1,1,,,,,
O,Treylon Burks,TB-8372,Tennessee Titans,LCL Sprain,knee,lower body,Low Severity,Preseason,2023,1,2,,,,,
O,Tyler Huntley,TH-3050,Baltimore Ravens,Hamstring Strain,leg,lower body,Medium Severity,Preseason,2023,2,2,,,,,
O,Tyler Smith,TS-2838,Dallas Cowboys,Hamstring Strain,leg,lower body,Low Severity,Preseason,2023,,,,,,,
O,Tyquan Thornton,TT-2346,New England Patriots,Shoulder Issue,shoulder,upper body,Medium Severity,Preseason,2023,5,5,,,,Yes,
O,Tytus Howard,TH-2862,Houston Texans,Broken Hand,hand,upper body,Medium Severity,Preseason,2023,4,4,,,,Yes,
D,Ventrell Miller,VM-7777,Jacksonville Jaguars,Torn Achilles,foot,lower body,High Severity,Preseason,2023,17,,,Yes,Out for 2023 season,Yes ,
O,Zack Moss,ZM-0350,Indianapolis Colts,Broken Forearm,arm,upper body,Medium Severity,Preseason,2023,1,1,,,,,
O,John Metchie,JM-1417,Houston Texans,Hamstring Strain,leg,lower body,Low Severity,Preseason,2023,1,2,,,,,
O,Darren Waller,DW-0675,New York Giants,Hamstring Tightness,leg,lower body,Low Severity,Preseason,2023,1,6,,,,,
O,Marquise Brown,MB-4075,Arizona Cardinals,Hamstring strain,leg,lower body,Low Severity,Preseason,2023,,2,,,,,
O,Stetson Bennett,SB-2228,Los Angeles Rams,undisclosed injury,shoulder,upper body,Medium Severity,Preseason,2023,9,,,,,Yes,
O,Wan'Dale Robinson,WR-6740,New York Giants,ACL recovery,knee,lower body,Medium Severity,Preseason,2023,2,10,,,,,
O,Jack Conklin,JC-4050,Cleveland Browns ,Torn ACL/MCL,knee,lower body,High Severity,Week 1,2023,16,,,Yes,Out for remainder of year,Yes,
O,J.K. Dobbins,JD-2225,Baltimore Ravens,Torn Achilles,foot,lower body,High Severity,Week 1,2023,16,,,Yes,Out for remainder of year,,
D,Marcus Williams,MW-2275,Baltimore Ravens,Torn Pectoral,chest,upper body,Medium Severity,Week 1,2023,4,4,,,,,
D,Payton Turner,PT-5512,New Orleans Saints,Turf Toe,foot,lower body,Medium Severity,Week 1,2023,13,5,,Yes,,,
O,Jakobi Meyers,JM-4162,Las Vegas Raiders,Concussion,head,upper body,Low Severity,Week 1,2023,1,1,,,,,
D,Caden Sterns,CS-8370,Denver Broncos,Torn Patellar Tendon,knee,lower body,High Severity,Week 1,2023,1,,,Yes,Out for remainder of year,,
D,James Bradberry,JB-4975,Philadelphia Eagles,Concussion,head,upper body,Low Severity,Week 1,2023,1,1,,,,,
O,Tyler Linderbaum,TL-2307,Baltimore Ravens,Sprained Ankle,foot,lower body,Low Severity,Week 1,2023,,2,,,,,
O,Ronnie Stanley,RS-2650,Baltimore Ravens,Sprained knee,knee,lower body,Medium Severity,Week 1,2023,4,5,,,,,
O,Aaron Rodgers,AR-1300,New York Jets,Ruptured Achilles,achilles,lower body,High Severity,Week 1,2023,16,3,,Yes,Out for remainder of year ,,
O ,Diontae Johnson,DJ-1675,Pittsburgh Steelers,Strained Hamstring,leg,lower body,Medium Severity,Week 1,2023,4,5,,,,Yes,
O,Andrew Thomas,AT-0475,New York Giants,Strained Hamstring,leg,lower body,Medium Severity,Week 1,2023,4,7,,,,,
D,Nakobe Dean,ND-2678,Philadelphia Eagles,Undisclosed Injury,foot,lower body,Medium Severity,Week 1,2023,8,4,,Yes,,Yes,
D,Cameron Heyward,CH-3100,Pittsburgh Steelers,Groin strain,groin,lower body,Medium Severity,Week 1,2023,6,7,,Yes,,,
O,Evan Hull,EH-0223,Indianapolis Colts,Torn Meniscus ,knee,lower body,High Severity,Week 1,2023,16,,,Yes,,Yes,
O,Greg Dulcich,GD-2129,Denver Broncos,Hamstring Strain,leg,lower body,High Severity,Week 1,2023,14,9,,,,Yes,
O ,Pat Freiermuth,PF-9947,Pittsburgh Steelers,Undisclosed Injury,chest,upper body,Low Severity,Week 1,2023,,1,,,,,
D,Jaycee Horn,JH-1797,Carolina Panthers,Hamstring Strain,leg,lower body,Medium Severity,Week 1,2023,9,,,Yes,,Yes,
O,Charles Cross,CC-2121,Seattle Seahawks,Turf Toe,foot,lower body,Medium Severity,Week 1,2023,2,2,,,,Yes,
O,Abraham Lucas,AL-7123,Seattle Seahawks,undisclosed injury,knee,lower body,Medium Severity,Week 1,2023,9,5,,Yes,,Yes,
O,Kenny McIntosh,KM-0223,Seattle Seahawks,Knee Sprain,knee,lower body,Medium Severity,Preseason,2023,8,8,,,,Yes,
O,Tyler Lockett,TL-1025,Seattle Seahawks,Concussion,head,upper body,Low Severity,Week 1,2023,,1,,,,,
