"player_id","name","week","team","number","position","dob"
"00-0023459","Aaron  Rodgers",1,"PIT","8","QB","12/02/1983"
"00-0023459","Aaron Rodgers",2,"NYJ","12","QB","12/02/1983"
"00-0023853","Matt  Prater",1,"BUF","15","K","08/10/1984"
"00-0023853","Matt Prater",2,"ARI","5","K","08/10/1984"
"00-0024243","Marcedes Lewis",2,"CHI","89","TE","05/19/1984"
"00-0025565","Nick  Folk",1,"NYJ","6","K","11/05/1984"
"00-0025565","Nick Folk",2,"TEN","6","K","11/05/1984"
"00-0026027","J.J.  Jansen",1,"CAR","44","LS","01/20/1986"
"00-0026027","J.J. Jansen",2,"CAR","44","LS","01/20/1986"
"00-0026158","Joe  Flacco",1,"CLE","15","QB","01/16/1985"
"00-0026166","Duane Brown",2,"NYJ","76","T","08/30/1985"
"00-0026190","Calais  Campbell",1,"ARI","93","DE","09/01/1986"
"00-0026190","Calais Campbell",2,"ATL","93","DE","09/01/1986"
"00-0026293","Matthew Slater",2,"NE","18","WR","09/09/1985"
"00-0026300","Josh  Johnson",1,"WAS","14","QB","05/15/1986"
"00-0026300","Josh Johnson",2,"BAL","15","QB","05/15/1986"
"00-0026498","Matthew  Stafford",1,"LAR","9","QB","02/07/1988"
"00-0026498","Matthew Stafford",2,"LAR","9","QB","02/07/1988"
"00-0026625","Brian Hoyer",2,"LV","5","QB","10/13/1985"
"00-0026858","Graham  Gano",1,"NYG","9","K","04/09/1987"
"00-0026858","Graham Gano",2,"NYG","5","K","04/09/1987"
"00-0027114","Thomas  Morstead",1,"SF","7","P","03/08/1986"
"00-0027114","Thomas Morstead",2,"NYJ","19","P","03/08/1986"
"00-0027224","Jon  Weeks",1,"SF","46","LS","02/17/1986"
"00-0027224","Jon Weeks",2,"HOU","46","LS","02/17/1986"
"00-0027557","Morgan  Cox",1,"TEN","46","LS","04/26/1986"
"00-0027557","Morgan Cox",2,"TEN","46","LS","04/26/1986"
"00-0027688","Colt McCoy",2,"ARI","12","QB","09/05/1986"
"00-0027696","Jimmy Graham",2,"NO","80","TE","11/24/1986"
"00-0027723","Al Woods",2,"NYJ","93","NT","03/25/1987"
"00-0027857","Trent  Williams",1,"SF","71","T","07/19/1988"
"00-0027857","Trent Williams",2,"SF","71","T","07/19/1988"
"00-0027865","Brandon Graham",2,"PHI","55","DE","04/03/1988"
"00-0027872","Kareem Jackson",2,"DEN","22","SS","04/10/1988"
"00-0027881","Jerry Hughes",2,"HOU","55","DE","08/13/1988"
"00-0027940","Von  Miller",1,"WAS","24","OLB","03/26/1989"
"00-0027940","Von Miller",2,"BUF","40","OLB","03/26/1989"
"00-0027943","Patrick Peterson",2,"PIT","7","CB","07/11/1990"
"00-0027947","Tyron Smith",2,"DAL","77","T","12/12/1990"
"00-0027948","Blaine Gabbert",2,"KC","11","QB","10/15/1989"
"00-0027962","Cameron  Jordan",1,"NO","94","OLB","07/10/1989"
"00-0027962","Cameron Jordan",2,"NO","94","DE","07/10/1989"
"00-0027969","Cameron  Heyward",1,"PIT","97","DT","05/06/1989"
"00-0027969","Cameron Heyward",2,"PIT","97","DT","05/06/1989"
"00-0027973","Andy  Dalton",1,"CAR","14","QB","10/29/1987"
"00-0027973","Andy Dalton",2,"CAR","14","QB","10/29/1987"
"00-0028002","Randall Cobb",2,"NYJ","18","WR","08/22/1990"
"00-0028008","Justin Houston",2,"CAR","50","OLB","01/12/1989"
"00-0028063","Taiwan Jones",2,"NYG","25","RB","07/26/1988"
"00-0028118","Tyrod  Taylor",1,"NYJ","2","QB","08/03/1989"
"00-0028118","Tyrod Taylor",2,"NYG","5","QB","08/03/1989"
"00-0028129","Jason Kelce",2,"PHI","62","C","11/05/1987"
"00-0028171","Lawrence Guy",2,"NE","93","DT","03/17/1990"
"00-0028284","Patrick Scales",2,"CHI","48","LS","02/11/1988"
"00-0028292","Nick  Bellore",1,"WAS","57","OLB","05/12/1989"
"00-0028292","Nick Bellore",2,"SEA","44","ILB","05/12/1989"
"00-0028394","Jake McQuaide",2,"DET","44","LS","12/07/1987"
"00-0028845","Josh Harris",2,"LAC","47","LS","04/27/1989"
"00-0028872","Johnny  Hekker",1,"TEN","3","P","02/08/1990"
"00-0028872","Johnny Hekker",2,"CAR","6","P","02/08/1990"
"00-0028899","Rodney McLeod",2,"CLE","23","FS","06/23/1990"
"00-0028908","Michael Thomas",2,"CIN","31","SS","03/17/1989"
"00-0028924","Tashaun Gipson",2,"SF","38","FS","08/07/1990"
"00-0028946","Aaron  Brewer",1,"ARI","46","LS","07/05/1990"
"00-0028946","Aaron Brewer",2,"ARI","46","LS","07/05/1990"
"00-0028986","Case Keenum",2,"HOU","5","QB","02/17/1988"
"00-0029000","Cole Beasley",2,"NYG","11","WR","04/26/1989"
"00-0029008","Charley  Hughlett",1,"PHI","47","LS","05/16/1990"
"00-0029008","Charley Hughlett",2,"CLE","47","LS","05/16/1990"
"00-0029239","Brandon Bolden",2,"LV","25","RB","01/26/1990"
"00-0029255","Bobby  Wagner",1,"WAS","54","MLB","06/27/1990"
"00-0029255","Bobby Wagner",2,"SEA","54","ILB","06/27/1990"
"00-0029263","Russell  Wilson",1,"NYG","3","QB","11/29/1988"
"00-0029263","Russell Wilson",2,"DEN","3","QB","11/29/1988"
"00-0029293","Marvin Jones",2,"DET","11","WR","06/28/1972"
"00-0029316","Kelvin  Beachum",1,"ARI","68","T","06/08/1989"
"00-0029316","Kelvin Beachum",2,"ARI","68","T","06/08/1989"
"00-0029419","Dennis Kelly",2,"PHI","79","T","01/16/1990"
"00-0029530","Justin Bethel",2,"MIA","29","CB","06/17/1990"
"00-0029542","Stephon Gilmore",2,"DAL","9","CB","09/19/1990"
"00-0029562","Lavonte  David",1,"TB","54","ILB","01/23/1990"
"00-0029562","Lavonte David",2,"TB","54","ILB","01/23/1990"
"00-0029585","Chandler Jones",2,"LV","55","DE","02/27/1990"
"00-0029592","Kevin  Zeitler",1,"TEN","70","G","03/08/1990"
"00-0029592","Kevin Zeitler",2,"BAL","70","G","03/08/1990"
"00-0029597","Justin Tucker",2,"BAL","9","K","11/21/1989"
"00-0029604","Kirk  Cousins",1,"ATL","18","QB","08/19/1988"
"00-0029604","Kirk Cousins",2,"MIN","8","QB","08/19/1988"
"00-0029606","Harrison Smith",2,"MIN","22","SS","02/02/1989"
"00-0029607","Demario  Davis",1,"NO","56","MLB","01/11/1989"
"00-0029607","Demario Davis",2,"NO","56","MLB","01/11/1989"
"00-0029621","Greg Zuerlein",2,"NYJ","2","K","12/27/1987"
"00-0029653","Fletcher Cox",2,"PHI","91","DT","12/13/1990"
"00-0029672","Riley Reiff",2,"NE","71","T","12/01/1988"
"00-0029685","Greg  Van Roten",1,"NYG","74","G","02/26/1990"
"00-0029685","Greg Van Roten",2,"LV","62","G","02/26/1990"
"00-0029692","Bryan  Anger",1,"DAL","5","P","10/06/1988"
"00-0029692","Bryan Anger",2,"DAL","5","P","10/06/1988"
"00-0029701","Ryan Tannehill",2,"TEN","17","QB","07/27/1988"
"00-0029714","Andrew  DePaola",1,"MIN","42","LS","07/28/1987"
"00-0029714","Andrew DePaola",2,"MIN","42","LS","07/28/1987"
"00-0029764","Cody Davis",2,"NE","22","FS","06/06/1989"
"00-0029822","Brandon  McManus",1,"GB","17","K","07/25/1991"
"00-0029822","Brandon McManus",2,"JAX","8","K","07/25/1991"
"00-0029890","Mike Purcell",2,"DEN","98","NT","04/20/1991"
"00-0029892","Kyle  Juszczyk",1,"SF","44","FB","04/23/1991"
"00-0029892","Kyle Juszczyk",2,"SF","44","FB","04/23/1991"
"00-0029895","Ryan Jensen",2,"TB","66","C","05/27/1991"
"00-0029963","Chris Hubbard",2,"TEN","74","T","04/23/1991"
"00-0030035","Adam  Thielen",1,"MIN","19","WR","08/22/1990"
"00-0030035","Adam Thielen",2,"CAR","19","WR","08/22/1990"
"00-0030061","Zach  Ertz",1,"WAS","86","TE","11/10/1990"
"00-0030061","Zach Ertz",2,"ARI","86","TE","11/10/1990"
"00-0030062","Darius  Slay",1,"PIT","23","CB","01/01/1991"
"00-0030062","Darius Slay",2,"PHI","2","CB","01/01/1991"
"00-0030063","Johnathan Hankins",2,"DAL","90","DT","03/30/1992"
"00-0030067","Terron Armstead",2,"MIA","72","T","07/23/1991"
"00-0030068","Marquise Goodwin",2,"CLE","84","WR","11/19/1990"
"00-0030070","John  Jenkins",1,"BAL","94","NT","07/11/1989"
"00-0030070","John Jenkins",2,"LV","90","DT","07/11/1989"
"00-0030074","David Bakhtiari",2,"GB","69","T","09/30/1991"
"00-0030090","Micah Hyde",2,"BUF","23","FS","12/31/1990"
"00-0030092","Sam  Martin",1,"CAR","6","P","02/27/1990"
"00-0030092","Sam Martin",2,"BUF","6","P","02/27/1990"
"00-0030097","David Quessenberry",2,"MIN","72","G","08/24/1990"
