"Year","Player","Targets","Contested targets","Contested Target Rate","Contested Catch Rate"
"2023","Adonai Mitchell","66","16","24.2","75.0"
"2023","Brian Thomas Jr.","69","11","15.9","72.7"
"2023","Ja'Lynn Polk*","43","13","30.2","84.6"
"2023","Jalen McMillan*","47","6","12.8","66.7"
"2023","Javon Baker","63","22","34.9","68.2"
"2023","Jermaine Burton","43","14","32.6","78.6"
"2023","Keon Coleman","69","17","24.6","70.6"
"2023","Ladd McConkey","35","6","17.1","50.0"
"2023","Malik Nabers","93","11","11.8","72.7"
"2023","Marvin Harrison Jr.","73","20","27.4","70.0"
"2023","Ricky Pearsall","74","17","23.0","64.7"
"2023","Roman Wilson","41","5","12.2","80.0"
"2023","Rome Odunze","77","18","23.4","88.9"
"2023","Troy Franklin","66","7","10.6","42.9"
"2023","Xavier Legette*","38","11","28.9","81.8"
"2023","Xavier Worthy","74","11","14.9","18.2"
