"Player","CHK Tar","CHK SR","FLT Tar","FLT SR","CBK Tar","CBK SR","OUT Tar","OUT SR","CNR Tar","CNR SR","NIN Tar","NIN SR","PST Tar","PST SR","DIG Tar","DIG SR","CRL Tar","CRL SR","SLT Tar","SLT SR","SCR Tar","SCR SR","OTH Tar","OTH SR","TA","TA %"
"Aaron Rodgers","11.5","67.86%","16.1","74.36%","0.0","N/A","6.6","81.25%","3.3","87.50%","10.3","52.00%","4.1","40.00%","1.7","75.00%","6.6","75.00%","20.2","89.80%","14.4","85.71%","2.5","33.33%","7","2.9"
"Brock Purdy","10.6","84.62%","9.8","66.67%","0.8","100.00%","6.5","75.00%","2.4","66.67%","4.1","40.00%","4.1","40.00%","6.5","75.00%","12.2","73.33%","28.5","71.43%","11.4","85.71%","0.8","0.00%","3","2.4"
"Dak Prescott","7.1","84.21%","11.9","84.38%","3.7","70.00%","8.9","66.67%","2.2","100.00%","6.7","38.89%","9.3","56.00%","3.4","77.78%","19.0","78.43%","19.3","80.77%","5.6","93.33%","1.1","66.67%","5","1.9"
"Daniel Jones","9.3","78.26%","21.9","81.48%","0.4","100.00%","2.8","85.71%","1.6","75.00%","4.1","60.00%","2.8","28.57%","8.5","76.19%","17.4","67.44%","18.6","69.57%","6.5","87.50%","0.4","100.00%","14","5.7"
"Derek Carr","10.1","89.29%","11.6","84.38%","3.6","50.00%","9.1","76.00%","2.9","37.50%","8.0","36.36%","8.7","50.00%","6.9","68.42%","12.0","75.76%","15.6","74.42%","5.8","81.25%","0.4","100.00%","15","5.4"
"Desmond Ridder","4.4","80.00%","12.4","85.71%","0.9","100.00%","9.7","54.55%","3.5","25.00%","7.1","37.50%","2.7","66.67%","8.8","40.00%","13.3","60.00%","17.7","80.00%","13.3","93.33%","2.7","100.00%","5","4.4"
"Geno Smith","8.4","85.71%","13.6","82.35%","1.2","66.67%","13.6","79.41%","4.0","80.00%","6.4","56.25%","6.0","66.67%","2.8","71.43%","15.1","86.84%","16.3","78.05%","7.2","83.33%","2.8","57.14%","7","2.8"
"Jalen Hurts","4.0","100.00%","11.2","80.00%","2.2","40.00%","9.4","76.19%","2.7","83.33%","7.6","52.94%","4.9","81.82%","3.6","62.50%","12.5","78.57%","22.8","88.24%","13.4","90.00%","0.9","0.00%","11","4.9"
"Jared Goff","8.7","79.17%","13.0","75.00%","1.1","33.33%","10.5","72.41%","2.5","28.57%","6.5","44.44%","5.4","53.33%","4.4","75.00%","12.7","82.86%","21.0","77.59%","8.7","95.83%","0.7","50.00%","13","4.7"
"Joe Burrow","13.4","89.74%","8.3","79.17%","5.2","60.00%","13.1","63.16%","1.4","50.00%","8.9","50.00%","4.8","71.43%","4.1","83.33%","14.1","82.93%","13.8","85.00%","9.3","92.59%","0.7","50.00%","9","3.1"
"Josh Allen","10.6","89.66%","8.0","95.45%","5.5","80.00%","9.8","66.67%","6.9","84.21%","5.5","60.00%","4.4","50.00%","3.3","66.67%","12.7","74.29%","20.4","71.43%","7.3","95.00%","3.6","60.00%","6","2.2"
"Justin Fields","8.0","78.57%","14.3","72.00%","0.6","100.00%","5.1","88.89%","2.9","60.00%","10.9","42.11%","3.4","66.67%","2.9","100.00%","13.1","91.30%","8.6","60.00%","19.4","82.35%","5.7","50.00%","8","4.6"
"Justin Herbert","18.7","89.47%","11.5","82.86%","1.6","80.00%","10.8","81.82%","2.3","71.43%","9.5","41.38%","3.9","83.33%","3.9","58.33%","12.5","76.32%","11.2","82.35%","9.5","89.66%","2.3","42.86%","7","2.3"
"Kenny Pickett","12.2","87.10%","12.6","81.25%","4.3","72.73%","8.6","72.73%","0.8","50.00%","10.6","37.04%","6.3","50.00%","3.9","40.00%","16.1","63.41%","9.8","76.00%","6.3","93.75%","3.5","77.78%","13","5.1"
"Kirk Cousins","5.7","80.00%","14.0","81.08%","1.5","50.00%","12.9","73.53%","4.2","90.91%","6.8","61.11%","5.3","78.57%","8.7","65.22%","11.0","75.86%","16.3","86.05%","9.5","96.00%","0.0","N/A","11","4.2"
"Kyler Murray","6.1","84.21%","10.5","90.91%","1.9","50.00%","6.4","70.00%","2.2","57.14%","9.6","33.33%","4.2","61.54%","2.9","66.67%","19.8","82.26%","16.3","68.63%","15.3","91.67%","1.6","40.00%","10","3.2"
"Lamar Jackson","6.6","87.50%","11.2","92.59%","1.2","66.67%","10.7","80.77%","3.7","66.67%","4.1","40.00%","10.3","44.00%","5.0","58.33%","12.8","87.10%","19.4","76.60%","8.3","90.00%","2.9","14.29%","9","3.7"
"Mac Jones","10.4","81.48%","15.0","82.05%","0.4","100.00%","7.3","73.68%","3.5","55.56%","8.5","45.45%","6.5","70.59%","4.6","83.33%","8.1","95.24%","14.6","81.58%","16.2","92.86%","1.9","60.00%","8","3.1"
"Matthew Stafford","5.8","73.33%","9.6","88.00%","0.8","0.00%","9.2","79.17%","3.1","62.50%","7.3","42.11%","4.6","50.00%","3.8","80.00%","18.0","72.34%","16.1","73.81%","17.6","89.13%","1.5","25.00%","7","2.7"
"Patrick Mahomes","8.1","77.27%","9.2","96.00%","0.7","0.00%","9.6","69.23%","6.3","70.59%","8.1","54.55%","4.8","92.31%","4.4","66.67%","13.6","70.27%","13.6","72.97%","12.1","87.88%","5.5","46.67%","11","4.0"
"Russell Wilson","12.8","83.87%","16.5","85.00%","0.4","0.00%","9.1","72.73%","2.1","40.00%","11.2","44.44%","5.8","57.14%","2.9","57.14%","10.7","88.46%","10.3","76.00%","10.3","92.00%","3.3","75.00%","11","4.5"
"Ryan Tannehill","9.3","90.48%","11.5","88.46%","0.9","100.00%","13.7","61.29%","3.1","85.71%","5.8","46.15%","6.6","53.33%","3.1","71.43%","16.8","76.32%","18.1","70.73%","8.4","94.74%","0.0","N/A","6","2.7"
"Trevor Lawrence","3.6","80.00%","8.7","83.33%","1.5","25.00%","14.6","80.00%","4.0","45.45%","10.2","39.29%","5.1","64.29%","3.3","77.78%","14.9","85.37%","15.6","79.07%","16.0","90.91%","1.5","0.00%","3","1.1"
"Tua Tagovailoa","6.7","70.59%","17.3","79.55%","2.4","100.00%","8.3","71.43%","2.4","66.67%","9.1","43.48%","8.3","66.67%","3.5","55.56%","9.1","73.91%","26.0","78.79%","4.3","90.91%","0.8","100.00%","5","2.0"
