"Player","Man Tar","Man SR","Zone Tar","Zone SR","Open Tar","Open SR","Covered Tar","Covered SR","WR ADJ","Contested INC","PD","Drop"
"Aaron Rodgers","20.2","55.10","65.02%","75.32","52.26%","85.83","30.04%","50.68","6.17%","5.35%","7.00%","4.12%"
"Brock Purdy","25.2","58.06","63.41%","71.79","68.29%","82.14","17.89%","27.27","8.13%","3.25%","9.76%","6.50%"
"Dak Prescott","17.5","68.09","76.95%","73.43","47.96%","91.47","44.61%","55.00","4.83%","6.32%","9.29%","3.72%"
"Daniel Jones","27.5","57.35","65.59%","72.84","53.44%","89.39","34.01%","48.81","4.85%","8.90%","7.69%","3.24%"
"Derek Carr","21.4","62.71","72.10%","66.33","55.07%","88.16","33.33%","38.04","5.07%","6.16%","9.06%","2.17%"
"Desmond Ridder","20.4","47.83","67.26%","65.79","53.98%","78.69","29.20%","39.39","4.42%","5.31%","8.85%","0.90%"
"Geno Smith","14.3","75.00","78.49%","75.63","62.15%","88.46","27.89%","54.29","5.18%","4.78%","8.76%","3.59%"
"Jalen Hurts","30.8","63.77","55.80%","78.40","52.68%","90.68","29.02%","53.85","4.46%","5.36%","7.14%","4.46%"
"Jared Goff","23.9","56.06","67.03%","71.35","60.87%","87.50","25.36%","31.43","3.26%","4.35%","5.43%","5.07%"
"Joe Burrow","23.0","58.21","67.01%","77.90","51.89%","88.74","35.74%","54.81","4.47%","4.47%","7.90%","3.78%"
"Josh Allen","32.0","62.50","60.73%","79.04","59.64%","93.29","38.18%","49.52","5.09%","8.36%","7.27%","5.09%"
"Justin Fields","22.9","57.50","57.71%","71.29","57.71%","83.17","18.29%","34.38","3.42%","4.00%","8.57%","3.42%"
"Justin Herbert","20.3","62.90","69.84%","77.93","57.05%","92.53","31.15%","46.32","3.28%","2.62%","8.20%","5.57%"
"Kenny Pickett","25.5","53.85","68.24%","67.24","58.43%","83.89","30.20%","35.06","4.71%","4.71%","7.84%","4.30%"
"Kirk Cousins","20.5","66.67","70.08%","75.14","58.33%","91.56","28.03%","45.95","2.27%","7.58%","6.06%","2.65%"
"Kyler Murray","21.1","59.09","62.94%","71.07","57.19%","84.36","24.28%","36.84","6.07%","4.47%","9.58%","5.43%"
"Lamar Jackson","16.9","68.29","74.38%","70.00","55.37%","84.33","32.64%","51.90","5.37%","6.20%","6.20%","5.37%"
"Mac Jones","18.5","75.00","64.62%","73.21","56.15%","87.67","24.23%","49.21","6.15%","5.00%","7.31%","5.38%"
"Matthew Stafford","17.6","54.35","63.98%","71.86","49.81%","86.92","29.89%","41.03","4.21%","3.45%","6.90%","3.07%"
"Patrick Mahomes","22.1","66.67","65.44%","69.10","58.46%","86.79","25.37%","37.68","3.31%","4.41%","8.46%","4.04%"
"Russell Wilson","20.3","59.18","68.60%","71.69","59.92%","87.59","24.38%","35.59","2.06%","3.70%","8.67%","3.70%"
"Ryan Tannehill","22.1","64.00","68.58%","72.90","54.42%","86.99","34.07%","49.35","7.96%","5.30%","8.40%","4.40%"
"Trevor Lawrence","26.6","67.12","57.45%","71.52","48.00%","87.88","34.91%","47.92","5.45%","6.55%","6.91%","5.09%"
"Tua Tagovailoa","16.9","72.09","77.95%","71.72","68.50%","84.48","29.53%","49.33","7.87%","7.09%","8.66%","3.15%"
