"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2023","Adonai Mitchell","264","100.0%","81.3","76.3","82.4","66.7","58.2","66.7","89.5","100.0","100.0","75.0"
"2023","Brian Thomas Jr.","280","100.0%","82.1","82.9","61.8","68.0","72.0","64.3","85.7","0.0","100.0","33.3"
"2023","Ja'Lynn Polk*","172","100.0%","75.6","85.3","84.6","92.9","52.4","50.0","70.0","85.7","91.7","50.0"
"2023","Jalen McMillan*","177","100.0%","85.7","70.4","83.3","47.6","48.0","80.0","69.2","50.0","90.5","100.0"
"2023","Javon Baker","219","85.7%","81.0","87.8","61.9","93.3","61.5","87.5","83.3","0.0","0.0","50.0"
"2023","Jermaine Burton","198","100.0%","86.4","82.1","96.6","73.7","58.1","53.3","81.0","83.3","88.9","75.0"
"2023","Keon Coleman","245","95.2%","77.3","76.5","73.1","70.8","37.8","50.0","70.0","71.4","100.0","83.3"
"2023","Ladd McConkey","133","100.0%","81.0","88.9","60.0","78.9","62.5","60.0","83.3","100.0","100.0","75.0"
"2023","Malik Nabers","281","100.0%","87.5","81.8","82.8","64.3","65.4","53.8","78.6","42.9","100.0","66.7"
"2023","Marvin Harrison Jr.","238","100.0%","85.2","81.6","77.8","66.7","62.5","82.4","100.0","71.4","100.0","100.0"
"2023","Ricky Pearsall","281","100.0%","82.5","83.8","88.6","74.1","47.4","65.4","77.8","57.1","93.3","63.6"
"2023","Roman Wilson","164","100.0%","76.0","76.9","93.3","60.0","57.1","42.9","50.0","100.0","81.0","60.0"
"2023","Rome Odunze","286","100.0%","87.2","79.6","85.7","83.9","60.8","64.7","81.0","85.7","88.9","80.0"
"2023","Troy Franklin","229","100.0%","73.3","85.4","68.2","75.0","64.7","66.7","57.1","100.0","50.0","100.0"
"2023","Xavier Legette*","160","100.0%","80.6","68.2","76.9","64.7","44.0","50.0","76.5","66.7","100.0","100.0"
"2023","Xavier Worthy","262","100.0%","78.2","78.1","69.0","73.7","62.5","52.9","81.0","66.7","88.9","85.7"
