"Year","Player","man atts.","Success Rate vs. Man","zone atts.","Success Rate vs. Zone","dbl atts.","Success Rate vs. Double","press atts.","Success Rate vs. Press","Routes","% Press","% Man","% Zone","% Doubled"
"2023","Adonai Mitchell","158","74.1","106","76.4","16","56.3","43","74.4","264","16.3","59.8","40.2","6.1"
"2023","Brian Thomas Jr.","137","70.1","143","80.4","7","28.6","46","73.9","280","16.4","48.9","51.1","2.5"
"2023","Ja'Lynn Polk*","69","68.1","103","83.5","1","0.0","26","69.2","172","15.1","40.1","59.9","0.6"
"2023","Jalen McMillan*","65","69.2","112","74.1","5","40.0","5","60.0","177","2.8","36.7","63.3","2.8"
"2023","Javon Baker","118","70.3","101","80.2","9","66.7","23","78.3","219","10.5","53.9","46.1","4.1"
"2023","Jermaine Burton","100","75.0","98","78.6","10","50.0","22","77.3","198","11.1","50.5","49.5","5.1"
"2023","Keon Coleman","134","62.7","111","80.2","13","30.8","29","55.2","245","11.8","54.7","45.3","5.3"
"2023","Ladd McConkey","67","74.6","66","83.3","7","57.1","18","44.4","133","13.5","50.4","49.6","5.3"
"2023","Malik Nabers","164","74.4","117","78.6","25","52.0","43","72.1","281","15.3","58.4","41.6","8.9"
"2023","Marvin Harrison Jr.","131","74.0","107","83.2","40","70.0","61","78.7","238","25.6","55.0","45.0","16.8"
"2023","Ricky Pearsall","124","75.8","157","82.2","14","57.1","31","67.7","281","11.0","44.1","55.9","5.0"
"2023","Roman Wilson","85","62.4","79","72.2","6","83.3","18","50.0","164","11.0","51.8","48.2","3.7"
"2023","Rome Odunze","147","76.2","139","83.5","22","77.3","70","80.0","286","24.5","51.4","48.6","7.7"
"2023","Troy Franklin","138","70.3","91","82.4","7","57.1","65","58.5","229","28.4","60.3","39.7","3.1"
"2023","Xavier Legette*","90","62.2","70","81.4","10","80.0","33","54.5","160","20.6","56.3","43.8","6.3"
"2023","Xavier Worthy","117","68.4","145","80.7","11","36.4","37","59.5","262","14.1","44.7","55.3","4.2"
