"Year","Player","Opportunities","% of Routes","1st Contact Drop","1 Broken Tackle","2+ Broken Tackle"
"2021","A.T. Perry*","11","7.2","27.3","63.6","9.1"
"2021","Cedric Tillman*","21","12.2","61.9","28.6","9.5"
"2022","Jalin Hyatt","26","9.6","73.1","26.9","0.0"
"2021","Jaxon Smith-Njigba*","41","16.5","61.0","24.4","14.6"
"2022","Jayden Reed*","19","11.9","57.9","31.6","10.5"
"2022","Jonathan Mingo","18","9.5","44.4","44.4","11.1"
"2022","Jordan Addison","30","13.9","60.0","36.7","3.3"
"2022","Josh Downs","41","12.6","78.0","19.5","2.4"
"2022","Marvin Mims*","12","8.6","75.0","25.0","0.0"
"2022","Quentin Johnston","35","17.0","45.7","40.0","14.3"
"2022","Rashee Rice*","17","9.3","70.6","23.5","11.8"
"2022","Tank Dell","30","11.5","70.0","20.0","10.0"
"2022","Xavier Hutchinson*","21","16.7","61.9","23.8","14.3"
"2022","Zay Flowers","39","12.8","48.7","35.9","15.4"
