game_id,season,week,game_type,away_team,home_team,gameday,roof,surface,temp,wind
2023_01_DET_KC,2023,1,REG,DET,KC,2023-09-07,outdoors,,,
2023_01_CAR_ATL,2023,1,REG,CAR,ATL,2023-09-10,closed,,,
2023_01_HOU_BAL,2023,1,REG,HOU,BAL,2023-09-10,outdoors,,,
2023_01_CIN_CLE,2023,1,REG,CIN,CLE,2023-09-10,outdoors,,,
2023_01_JAX_IND,2023,1,REG,JAX,IND,2023-09-10,closed,,,
2023_01_TB_MIN,2023,1,REG,TB,MIN,2023-09-10,dome,,,
2023_01_TEN_NO,2023,1,REG,TEN,NO,2023-09-10,dome,,,
2023_01_SF_PIT,2023,1,REG,SF,PIT,2023-09-10,outdoors,,,
2023_01_ARI_WAS,2023,1,REG,ARI,WAS,2023-09-10,outdoors,,,
2023_01_GB_CHI,2023,1,REG,GB,CHI,2023-09-10,outdoors,,,
2023_01_LV_DEN,2023,1,REG,LV,DEN,2023-09-10,outdoors,,,
2023_01_MIA_LAC,2023,1,REG,MIA,LAC,2023-09-10,dome,,,
2023_01_PHI_NE,2023,1,REG,PHI,NE,2023-09-10,outdoors,,,
2023_01_LA_SEA,2023,1,REG,LA,SEA,2023-09-10,outdoors,,,
2023_01_DAL_NYG,2023,1,REG,DAL,NYG,2023-09-10,outdoors,,,
2023_01_BUF_NYJ,2023,1,REG,BUF,NYJ,2023-09-11,outdoors,,,
2023_02_MIN_PHI,2023,2,REG,MIN,PHI,2023-09-14,outdoors,,,
2023_02_GB_ATL,2023,2,REG,GB,ATL,2023-09-17,open,,,
2023_02_LV_BUF,2023,2,REG,LV,BUF,2023-09-17,outdoors,,,
2023_02_BAL_CIN,2023,2,REG,BAL,CIN,2023-09-17,outdoors,,,
2023_02_SEA_DET,2023,2,REG,SEA,DET,2023-09-17,dome,,,
2023_02_IND_HOU,2023,2,REG,IND,HOU,2023-09-17,open,,,
2023_02_KC_JAX,2023,2,REG,KC,JAX,2023-09-17,outdoors,,,
2023_02_CHI_TB,2023,2,REG,CHI,TB,2023-09-17,outdoors,,,
2023_02_LAC_TEN,2023,2,REG,LAC,TEN,2023-09-17,outdoors,,,
